source,title,description,link,pub_date
news,챗GPT ‘즉시 결제’ 접었다…‘AI 쇼핑’ 야심과 현실의 간극[산업이지...,앱토피아에 따르면 챗GPT의 미국 내 생성형 AI 챗봇 앱 시장 점유율(일일활성사용자 기준)은 지난해 8월 57%에서 지난달 42%로 떨어졌습니다. 같은 기간 구글 제미나이는 13%에서 25%로 2배 가까이 성장했습니다. 오픈AI는...,https://n.news.naver.com/mnews/article/032/0003436196?sid=105,"Sat, 28 Mar 2026 06:00:00 +0900"
news,다급해진 제약사들 잇딴 긴급회의...사실상 생존 경쟁 시작,"그래픽 : AI생성형 이미지 문제는 그런 기반이 없는 제약사들이다. A대표는 ""솔직히 연구개발 백그라운드가 없는 중소 제약사들은 앞이 안 보이는 상황""이라고 말했다.현재 정부가 업계에 제시한 출구는 '혁신형 제약사 전환...",https://www.medicaltimes.com/Main/News/NewsView.html?ID=1167974&ref=naverpc,"Sat, 28 Mar 2026 05:30:00 +0900"
news,글로벌 시장 '중재'가 대세,"KCAB는 2년 안에 전자중재를 도입할 예정이다. 이를 위해 법무부로부터 20억 원가량의 예산을 확보했으며, 생성형 인공지능(AI) 기반 대응 서비스를 제공하는 것을 목표로 하고 있다.",https://www.lawtimes.co.kr/news/articleView.html?idxno=218461,"Sat, 28 Mar 2026 05:02:00 +0900"
news,"신한은행, 법인 여신 업무에 생성형 AI 기반 '심사지원 Agent' 도입",©AP신문(AP뉴스)/이미지 제공 = 신한은행  신한은행(은행장 정상혁)은 법인 여신 업무에 생성형 AI를 적용한 '여신심사지원 Agent'를 도입했다고 27일 밝혔다. '여신심사지원 Agent'는 신한은행이 축적해온 기업여신 분야...,https://www.apnews.kr/news/articleView.html?idxno=3047183,"Sat, 28 Mar 2026 02:02:00 +0900"
news,"하나금융, '찾아가는 시니어 디지털 금융교육' 전국으로 확대한다","디지털 금융 교육에서는 모바일 뱅킹 앱 '하나원큐'를 활용한 송금과 조회, 공과금 납부 실습과 생활 편의 앱 활용 교육, 생성형 인공지능(AI) 활용법 등 최신 디지털 환경을 반영한 교육을 제공한다. 또 스마트폰 보안...",https://www.apnews.kr/news/articleView.html?idxno=3047180,"Sat, 28 Mar 2026 01:50:00 +0900"
news,"[기고] 청년 기회 확대, 국가기술자격 개편이 답이다","생성형 AI와 자동화 기술 확산으로 직무는 빠르게 재편되고, 하나의 기술이 아니라 복합적 역량이 요구되는 시대가 왔다. 지금의 국가기술자격 체계는 이 같은 변화에 충분히 대응하지 못하고 있다. 가장 큰 문제는 ‘응시...",https://n.news.naver.com/mnews/article/015/0005268028?sid=110,"Sat, 28 Mar 2026 00:13:00 +0900"
news,"수백만 조회수, 신규 교인은 0명? ‘밈’이 된 목사가 멈추지 않는 이유...","이제는 15분이면 충분할 만큼 숙련됐지만, 모르는 주제가 나오면 여전히 생성형 인공지능(AI)이나 소셜미디어, 유튜브 댓글을 직접 뒤져가며 공부한다. ‘아저씨를 좋아하는 취향’을 뜻하는 ‘오지콤’ 기도를 위해 그...",https://n.news.naver.com/mnews/article/005/0001839724?sid=102,"Sat, 28 Mar 2026 00:02:00 +0900"
news,[MBTI 오늘의 운세] 2026년 3월 28일,일/학업 여러 아이디어가 떠오르더라도 가장 끌리는 하나만 골라 시작해 보세요. 컨디션 카페인보다 따뜻한 물로 몸을 깨워보세요. ※ 이 기사는 생성형 AI로 제작했습니다. 한국일보는 생성형 AI 활용 준칙을 준수합니다.,https://n.news.naver.com/mnews/article/469/0000922170?sid=103,"Sat, 28 Mar 2026 00:00:00 +0900"
news,“계단 오르면 오래 산다”… 사망 위험 24% 줄어,숨이 너무 차면 난간을 잡고 속도를 줄여 안전하게 오르는 게 좋아요. 전체기사보기: ※ 이 기사는 생성형 AI로 제작했습니다. 한국일보는 생성형 AI 활용 준칙을 준수합니다.,https://n.news.naver.com/mnews/article/469/0000922171?sid=103,"Sat, 28 Mar 2026 00:00:00 +0900"
news,"[증권소식] 외국인 2월 국내주식 19.6조원 순매도/교직원공제회, 자산 8...",먼저 B2B(기업간 거래) 비즈니스 특화 버티컬 AI 워크포털 '아비코(AVIKO)'는 기업이 다양한 생성형 AI 모델을 통합 관리하며 브랜드의 정체성을 반영한 콘텐츠를 효율적으로 생산하도록 돕는다. 15년간 수행한 프로젝트의...,https://www.asiatime.co.kr/article/20260327500288,"Fri, 27 Mar 2026 23:40:00 +0900"
